name,name_cn,info,score,score_count,rank,type,tags
1000酱！SSD,1000ちゃんねる,6话 /  2015-06-02 / OIZUMI、オーイズミ,5.9,(10人评分),,,"WEB,2015,萝莉,TV,2015年6月,原创,萌,泡面番,续期,2015年,国产,日本,2015年四月番,1000酱,OIZUMI,期待"
王子与108煞,108 Rois-Démons,1话 /  2015-01-21(法国) / 2015-08-21(中国大陆) / Pascal Morelli,,(少于10人评分),,,"剧场版,动画电影,中国,法国,2015,欧美,无,中外合作,比利时,卢森堡,2015年01月"
12岁 第二季,12歳。 第2期,4话 /  2015年7月3日,5.8,(82人评分),Rank 6388,,"OVA,漫画改,恋爱,2015,OAD,校园,2015年7月,少女,少女漫,SynergySP,漫改,日本动画,日本,LOLI,2015年,漫画改编,少女向,¬,2016,已保存,续期,斉藤壮馬,12岁"
4月25日,25 April,1话 /  2015-09-14,,(少于10人评分),,,"剧场版,欧美,2016,アニメ映画,MatthewMetcalfe,Pooley,TimWoodhouse,Leanne,新西兰动画"
2B HERO,,1话 /  2015年6月19日 / 李豪凌,5.7,(45人评分),,,"WEB,国产,搞笑,亲情,2015,短片,李豪凌,中国,动画,推荐,悬疑,OVA,坑,温馨,奇幻,绘梦动画,突变英雄,二〇一五年,独立OVA、OAD、特番,2BHERO,网络动画"
3Ping Lovers！☆欢迎来到一夫二妻的世界♪ THE ANIMATION,3Ping Lovers！☆一夫二妻の世界へようこそ♪ THE ANIMATION,1话 /  2015年5月22日,5.9,(333人评分),Rank 7206,,
事故、失误和灾难,"Accidents, Blunders and Calamities",1话 /  2015年11月12日,,(少于10人评分),,,"短片,欧美,2015,3D"
探险活宝 第六季短篇,Adventure Time season 6 shorts,4话 /  2015年7月6日,6.3,(12人评分),,,"TV,欧美,2015,美国,原创,CARTOONNETWORK,探险活宝,FrederatorStudios"
探险活宝 第七季,Adventure Time season 7,39话 /  2015年11月2日,8.0,(122人评分),Rank 530,,"TV,美国,欧美,2015,搞笑,原创,动画,脑洞,百合,剧集,2015年11月,喜剧,无,冒险,动作,TVA,怪异,日常,CARTOONNETWORK,AdventureTime"
相似,Alike,1话 /  2015年11月6日 / Rafa Cano Méndez / Daniel Martínez Lara,5.3,(15人评分),,,"短片,2015,欧美,2022,治愈,独立动画,DanielMartínezLara,RafaCanoMéndez,西班牙,AM,西班牙动画"
睡石,An Object at Rest,2015年4月27日 / Seth Boyden,,(少于10人评分),,,"短片,欧美,2015,美国"
天使的心跳！地狱厨房,Angel Beats! Hell's Kitchen,1话 /  2015年6月24日 / 岸誠二 / 麻枝准(Key/VISUAL ARTS) / 平田雄三,6.5,(1764人评分),Rank 4888,,"校园,OVA,原创,P.A.WORKS,麻枝准,2015,搞笑,key,2015年6月,花泽香菜,岸诚二,神谷浩史,奇幻,2015年,治愈,战斗,岸誠二,日常,日本,番外,催泪,木村良平,恋爱,日本动画,AngleBeats!,OVA&OAD,AngelBeats!"
愤怒的小鸟史黛拉 第二季,Angry Birds Stella (Season 2),"13话 /  2015年10月9日 / Eric Guaglione,Kari Juusonen",,(少于10人评分),,,"TV,日常,欧美,2015,泡面番,游戏改,搞笑"
Animation has no borders,,2015 / Peter Sweenen,,,,,"2015,短片,Sweenen,实验,荷兰"
火柴人 VS 我的世界,Animation vs. Minecraft,2015,7.6,(50人评分),,,"WEB,原创,欧美,短片,战斗,热血,2015,穿越,火柴人,mc,泪目"
失常,Anomalisa,1话 /  2015年12月30日 / Charlie Kaufman / Duke Johnson,7.2,(28人评分),,,"剧场版,定格动画,2015,欧美,美国,动画电影,原创,剧场,奥斯卡,2010-2019,人生,电影,无,2015年,アニメ映画,美国动画,CharlieKaufman,DukeJohnson,伪,DavidThewlis,Charlie_Kaufman,Duke_Johnson,有事后一根烟,R级,非日本動畫電影"
Anorsel -A Mysterious Ritual,,1话 /  2015年12月05日,4.0,(11人评分),,,
苹果核战记α,AppleSeed Alpha,1话 /  2014年7月15日(北美碟片发售) / 荒牧伸志 / 士郎正宗,6.4,(166人评分),Rank 4755,,"剧场版,士郎正宗,3D,2014,科幻,CG,2014年7月,漫画改,2010-2019,2014年,劇場版,漫改,动画,枪战,日本,アニメ映画,『剧场版』,神作,諏訪部順一,苹果核战记阿尔法,荒牧伸志,苹果核战记"
饮料杯历险记 第十一季,Aqua Teen Hunger Force Season 11,9话 /  2015年6月21日,,,,,"TV,欧美"
间谍亚契 第六季,Archer (Season 6),13话 /  2015年1月9日,,(少于10人评分),,,"TV,欧美,2015,美国,TVA,Matt_Thompson,Adam_Reed,Bryan_Fordney,成人"
水星领航员 The AVVENIRE,ARIA The AVVENIRE,3话 /  2015年9月26日 / 佐藤順一 / 天野こずえ「ARIA」（ブレイドコミックス／マッグガーデン刊） / 音地正行,8.3,(1514人评分),Rank 93,,"日本,OVA,漫画改,日常,治愈,水星领航员,2015,ARIA,剧场版,佐藤顺一,TYOAnimations,百合,漫改,吉田玲子,佐藤順一,科幻,治愈系神作,2015年,补旧番,奇幻,续作,治愈系,HalFilmMaker,轻百合,动画,天野こずえ,2015年9月"
太空夺旗,Atrapa la Bandera,1话 /  2015-08-28(西班牙) / Enrique Gato,,(少于10人评分),,,"剧场版,欧美"
阿薇尔与虚构世界,Avril et le Monde truqué,1话 /  2015年11月4日(法国) / Christian Desmares / Franck Ekinci,6.7,(136人评分),Rank 3291,,"剧场版,漫画改,法国,欧美,蒸汽朋克,2015,科幻,动画电影,电影,原创,2010-2019,アニメ映画,架空,无,冒险"
拳击手,BAM,1话 /  2015 / Howie Shia,,,,,
芭比与姐妹之狗狗大冒险,Barbie and Her Sisters in the Great Puppy Adventure,1话 /  2015-10-20,,(少于10人评分),,,"剧场版,欧美,无,2015,芭比"
芭比之公主的力量,Barbie in Princess Power,1话 /  2015-03-04,,(少于10人评分),,,"剧场版,欧美,美国,2015,3D,芭比"
芭比之皇室摇滚,Barbie In Rock 'N Royals,1话 /  2015-08-13,,(少于10人评分),,,"剧场版,欧美,电影,无,芭比"
BAR 被讨厌的蔬菜,BAR嫌われ野菜,13话 /  2015年4月7日,,(少于10人评分),,,"TV,日本,2015年4月,2015,萌,2015年,GATHERING,泡面番,搞笑,201504,2015年四月番,近藤孝行"
蝙蝠侠无限: 动物本能,Batman Unlimited: Animal Instincts,1话 /  2015年5月12日 / Butch Lukic,4.9,(20人评分),,,"OVA,dc,欧美,超级英雄,动画电影,2015,漫画改,剧场版,搞笑,美国,电影,无,Butch.Lukic"
蝙蝠侠无极限：怪兽来袭,Batman Unlimited: Monster Mayhem,1话 /  2015年8月18日 / Butch Lukic,,(少于10人评分),,,"剧场版,欧美,2015,dc,无,动画电影"
蝙蝠侠VS罗宾,Batman vs. Robin,"1话 /  2015年4月7日(数字版)、2015年4月14日(实体版) / Jay Oliva / ""Batman: The Court of Owls"" by Scott Snyder、Greg Capullo、Jonathan Glapion",5.6,(77人评分),Rank 6828,,"剧场版,欧美,dc,2015,漫画改,超级英雄,动画电影,美国动画,动画,无,电影,科幻,漫改,Warner.Bros.Animation"
泗水之战,Battle of Surabaya,1话 /  2015年8月20日 / Aryanto Yuniawan,,,,,"剧场版,2015,无,动画,印度尼西亚,印尼"
Berg,,1话 /  2015年3月10日 / 稲葉秀樹,,(少于10人评分),,,"WEB,空,mv,短片,日美合作"
比基尼勇士,BIKINI WARRIORS,13话 /  2015年7月7日 / 葛谷直行 / 「ビキニ・ウォリアーズ」ホビージャパン / 村山公輔,6.0,(970人评分),Rank 7414,,"TV,日本,原创,泡面番,肉番,2015年7月,搞笑,巨乳,Feel.,肉,卖肉,2015,吐槽,植田佳奈,百合,泡面,原创动画,奇幻,日笠阳子,2015年,福利,日笠陽子,露点,异世界,7月,短片,比基尼勇士"
不消停的宾齐·尼尔森,Binky Nelson Unpacified,1话 /  2015年12月8日,5.6,(13人评分),,,"短片,欧美,2015,小黄人,美国,原创,7,喜剧,Illumination"
生化奇兵:三位一体,Bioshag :Trinity,1话 /  2015年7月14日,5.0,(25人评分),,,
BLAME! 端末遗构都市,BLAME! 端末遺構都市,1话 /  2015年7月22日 / 弐瓶勉,6.6,(227人评分),Rank 4034,,"短片,OVA,2015,弐瓶勉,科幻,PolygonPictures,漫画改,剧中剧,剧场版,漫改,2015年5月,2015年,动作,2015年4月,SP,独立ova,2017,マンガ原作,未确定,BLAME!"
开心汉堡店 第六季,Bob's Burgers Season 6,22话 /  2015年9月27日,,(少于10人评分),,,"TV,欧美,无,非日本"
马男波杰克2,Bojack Horseman Season 2,12话 /  2015年7月17日,7.9,(436人评分),Rank 365,,"原创,美国,欧美,WEB,Netflix,致郁,TV,2015,吐槽,搞笑,2015年7月,美国动画,TVA,剧情,社会,美漫,2010s,Animation,日常,喜剧,补标,动画,毒鸡汤,马男波杰克,马学"
回光返照,Borrowed Time,1话 /  2015年10月31日 / Andrew Coats、Lou Hamou-Lhadj,5.3,(30人评分),,,"欧美,短片,2015,pixar,皮克斯,美国,原创,3D,美国动画,奥斯卡,10,2016,AndrewCoats,LouHamou-Lhadj,MarkCurnellHarris"
火影忍者 剧场版 博人传,BORUTO -NARUTO THE MOVIE-,1话 /  2015年8月7日 / 山下宏幸 / 岸本斉史 / 岸本斉史、西尾鉄也、鈴木博文,7.0,(2079人评分),Rank 2501,,"剧场版,漫画改,火影忍者,2015,NARUTO,作画优秀,热血,StudioPierrot,漫改,战斗,ぴえろ,映画,2015年8月,JUMP,奇幻,2015年,电影,高梨康治,PIERROT,原创,小丑社,2015年7月,日本,日本动画,情怀,Studio·Pierrot,山下宏幸,松本宪生"
BUNNY,,2015-10-23,,(少于10人评分),,,"短片,2015,其它,空,剧场版"
沮丧,Cafard,1话 /  2015-11-23 (比利时) / Jan Bultheel,,,,,"剧场版,欧美"
折枝,CAGE'折枝,1话 /  2015年12月09日 / 杜鹏鹏,,(少于10人评分),,,"WEB,短片,2015,独立动画,原创,2010s,毕设,杜鹏鹏,毕业作品"
夏洛特,Charlotte,14话 /  2015年7月4日 / 浅井義之 / 麻枝准(Key/VISUAL ARTS) / 関口可奈味、副人物设定：吉田優子、大東百合恵,6.3,(16297人评分),Rank 6068,,"校园,TV,日本,奇幻,原创,麻枝准,P.A.WORKS,2015年7月,key,超能力,Charlotte,2015,恋爱,夏洛特,原创动画,战斗,催泪,治愈,业界良心,2015年,搞笑,日常,佐仓绫音,烂尾,动画,内山昂辉,大魔王,浅井義之,浅井义之,PA"
教室☆危机,Classroom☆Crisis,14话 /  2015年7月3日 / 長崎健司 / MONTWO / かんざきひろ、石野聡,6.6,(1416人评分),Rank 4693,,"科幻,校园,TV,日本,原创,2015年7月,丸户史明,Lay-duce,2015,原创动画,恋爱,2015年,职场,雨宫天,青春,丸戸史明,堀江由衣,内田雄馬,政治,日常,Classroom☆Crisis,教室☆危机,神崎广,长崎健司"
CLOVER: sioriside,,1话 /  2015-12-30,,(少于10人评分),,,"短片,剧场版,2015,原创,空,IndieAnime,制作精良"
CODY'S POSITIVE AFFIRMATIONS,,1话 /  2015,,(少于10人评分),,,"WEB,欧美,2015,短片"
魔兽：欲望竞技场,Coliseum of Lust,1话 /  2015年3月31日,4.2,(23人评分),,,
比赛,Competition,1话 /  2015年,6.0,(17人评分),,,"短片,欧美,2015,小黄人,原创,美国,搞笑,治愈,3D,喜剧,照明娱乐,Illumination,6+"
新高达之竞争-红白-,Competition of NEW GUNDAM -RED or WHITE-,2015年11月7日,,(少于10人评分),,,"高达,2015年11月,2015,2015年,机战,2015年十月番"
Cosmic Scrat-tastrophe,,1话 /  2015年11月6日 / Michael Thurmeier、Galen Chu,,(少于10人评分),,,"欧美,2015,短片,8+,BlueSky,冰河世纪,蓝天工作室"
宇宙自助洗衣店,Cosmos Laundromat,2015-10(荷兰),,(少于10人评分),,,"2015,欧美,短片"
疯狂小黄人,Cro Minion,1话 /  2015年,5.9,(17人评分),,,"短片,欧美,2015,小黄人,原创,7,搞笑,治愈,3D,喜剧,美国,Illumination,照明娱乐"
与魔共舞,Dance with Devils,12话 /  2015年10月7日 / 吉村愛 / グリモワール編纂室,5.6,(311人评分),Rank 8126,,"TV,日本,原创,乙女向,2015年10月,逆后宫,BrainsBase,2015,近藤隆,斉藤壮馬,恋爱,2015年,奇幻,乙女,搞笑,日本动画,动画,rejet"
DD北斗神拳2 草莓味+,DD北斗の拳2 イチゴ味+,12话 /  2015年10月6日,6.2,(53人评分),Rank 4472,,"TV,日本,漫画改,2015年10月,2015,大地丙太郎,搞笑,亚细亚堂,立花慎之介,漫改,萌,2015年,日本动画,关智一,动画,TVA,関智一,亜細亜堂,续作,第二期,DD北斗神拳2,201510,大岛理惠,山下大辉,西田章二,草莓味+,春日森春木,2015年十月番,没资源,一条和矢"
死于太空,Death in Space,1话 /  2015年 / Tom Lucas,,(少于10人评分),,,"2015,短片,欧美,其它,美国,Tom_Lucas"
后裔：极恶世界 第一季,Descendants: Wicked World (Season 1),18话 /  2015年9月18日,,(少于10人评分),,,"TV,欧美,美国"
魔鬼恋人 第二季,"DIABOLIK LOVERS MORE,BLOOD",12话 /  2015年9月23日 / オトメイト（アイディアファクトリー・Rejet）,5.5,(342人评分),Rank 8229,,"TV,日本,游戏改,乙女向,2015年10月,ZEXCS,2015,木村良平,小西克幸,逆后宫,梶裕貴,近藤隆,吸血鬼,恋爱,鈴木達央,乙女,樱井孝宏,2015年,櫻井孝宏,第二季,日本动画,少女,奇幻,绿川光,梶裕贵,DIABOLIKLOVERS"
魔鬼恋人 OAD,DIABOLIK LOVERS OAD,1话 /  2015年2月26日 / 吉田りさこ / オトメイト（アイディアファクトリー・Rejet）,5.4,(103人评分),Rank 7517,,"OVA,游戏改,乙女向,OAD,ZEXCS,2015,木村良平,2015年,乙女,小西克幸,日本动画,近藤隆,番外,梶裕贵,櫻井孝宏,女性向,梶裕貴,日本,逆后宫,绿川光,正番,2015年1月,魔鬼恋人,DIABOLIKLOVERS,DIABOLIK"
Dirin Dirin,,2015年,,,,,"TV,空"
我的狼人男友,Dirty Paws,2015-07-30 / Karina Farek,6.7,(12人评分),,,"短片,BL,美国动画,欧美,基,动画短片,2015,KarinaFarek"
DOFUS首章：朱莉丝,"Dofus, livre 1 : Julith",1话 /  2015年11月7日 / Jean-Jacques Denis / Anthony Roux,6.8,(16人评分),,,"剧场版,法国,2016,欧美,游戏改,原创,奇幻,2016年,电影,2015,动画,ankama,作画强"
DOG DAYS'',DOG DAYS'',12话 /  2015年1月10日 / 西村純二 / 都築真紀 / 坂田理,6.4,(1034人评分),Rank 5776,,"后宫,TV,日本,原创,2015年1月,SevenArcs,2015,水树奈奈,堀江由衣,花泽香菜,第三季,西村純二,奇幻,兽耳,异世界,搞笑,萌,穿越,SEVEN・ARCS,续作,战斗,日常,水樹奈々,竹达彩奈,原创动画,阿澄佳奈,悠木碧,狗日,DogDays,都築真紀"
驯龙高手：飞越边界 第一季,Dragons: Race to the Edge Season 1,13话 /  2015年6月25日,,,,,"欧美,WEB"
DušaN,,1话 /  2015年4月25日,,(少于10人评分),,,"WEB,空,MV,短片,日斯洛伐克合作"
茄子宣言,Eggplant,2015 / Yangzi She,,(少于10人评分),,,"短片,2015,欧美,美国,佘扬子,Yangzi_She"
Eralin & Meralin Trailer,,1话 /  2015年06月14日,4.3,(11人评分),,,
Ernie Biscuit,,1话 /  2015年 / Adam Elliot,,(少于10人评分),,,"短片,2015,空"
福是全家福的福 第一季,F Is for Family Season 1,6话 /  2015-12-18 / Laurent Nicolas、Benjamin Marsaud、Tom Gianas / Bill Burr、Michael Price,,(少于10人评分),,,"WEB,欧美,2010s,2015,Netflix,致郁,原创,亲情,TV"
恶搞之家 第十四季,Family Guy (Season 14),20话 /  2015年9月27日,6.8,(19人评分),,,"TV,欧美,搞笑,2015,美漫,动画,原创,日常,美国,恶搞之家,初生,2015年9月,Seth_MacFarlane,G,FOX"
Fate/kaleid liner 魔法少女☆伊莉雅 2wei OAD,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ! OAD,1话 /  2015年7月25日 / 神保昌登 / ひろやまひろし・TYPE-MOON / 牛島希,6.9,(1336人评分),Rank 2842,,"百合,OVA,漫画改,OAD,Type-Moon,魔法少女伊莉雅,SILVERLINK.,2015,Fate,大沼心,魔法少女,2015年4月,漫改,魔法少女☆伊莉雅,2015年7月,神保昌登,萝莉,奇幻,魔法,搞笑,2015年,战斗,SILVER_LINK.,后宫,日本,型月,日本动画,伊莉雅"
Fate/kaleid liner 魔法少女☆伊莉雅 2wei Herz!,Fate/kaleid liner プリズマ☆イリヤ ツヴァイヘルツ!,10话 /  2015年7月24日 / 神保昌登 / ひろやまひろし・TYPE-MOON / 牛島希,7.1,(3870人评分),Rank 1960,,"百合,TV,日本,漫画改,战斗,Type-Moon,2015年7月,魔法少女☆伊莉雅,SILVERLINK.,魔法少女,大沼心,Fate,2015,漫改,魔法少女伊莉雅,奇幻,萝莉,SILVERLINK,神保昌登,搞笑,日常,续作,萌,2015年,轻百合,SILVER_LINK.,季番,型月,校园,伊莉雅"
Fate/stay night [Unlimited Blade Works] 第二季,Fate/stay night [Unlimited Blade Works] 2ndシーズン,13话 /  2015年4月4日,7.5,(15663人评分),Rank 945,,"TV,日本,奇幻,战斗,游戏改,Type-Moon,ufotable,Fate,2015年4月,UBW,GAL改,2015,蘑菇,热血,游戏改编,2015年,恋爱,动画,奈须蘑菇,奈須きのこ,续作,FateStayNight,植田佳奈,型月,游改,远坂凛,诹访部顺一,奈须きのこ,三浦貴博,三浦贵博"
Find the One,,2015-04-12,,(少于10人评分),,,"欧美动画,空,广告,IndieAnime"
冰雪奇缘：生日惊喜,Frozen Fever,1话 /  2015-03-13（美国）,6.8,(376人评分),Rank 3416,,"美国,欧美,迪士尼,短片,2015,Disney,百合,OVA,剧场版,3D,原创,动画电影,2015年4月,奇幻,番外,搞笑,劇場版アニメ,欧美动画,动画,2015年,2015年3月,补标"
FW：滨虎,FW：ハマトラ,1话 /  2015年11月14日,5.7,(50人评分),,,"剧场版,总集篇,2015,逢坂良太,NAZ,热血,2015年11月,神谷浩史,Lerche,奇幻,日本,原创,2014,アニメ映画,2015年,已保存,动画电影,超能力,日本动画,基情,TV,滨虎"
刚巴与伙伴们的大冒险,GAMBA ガンバと仲間たち,1话 /  2015年10月10日 / 河村友宏、小森啓裕,,(少于10人评分),,,"剧场版,2015年10月,2015年,2015,空,白组,2015年十月番"
GAME BREAK,GAME BREAK,1话 /  2015年3月20日,,,,,"空,中国,日本,无,动画,動畫片,BV1Kx411p7pC"
GATE 奇幻自卫队,GATE 自衛隊 彼の地にて、斯く戦えり,12话 /  2015年7月3日 / 京極尚彦 / 柳内たくみ / 中井準,6.5,(2958人评分),Rank 5100,,"后宫,TV,日本,奇幻,小说改,2015年7月,A-1Pictures,轻小说改,异世界,轻改,2015,战斗,A-1,穿越,京極尚彦,2015年,Gate,搞笑,战争,东山奈央,金元寿子,军事,诹访部顺一,A-1_Pictures,種田梨沙,ゲート―自衛隊彼の地にて、斯く戦えり"
象都,GO TO CITY ELE,1话 /  2015年10月12日 / 李文愉,,(少于10人评分),,,"动画片,中国,短片"
Go! Princess 光之美少女,Go! プリンセスプリキュア,50话 /  2015年2月1日 / 東堂いづみ / 中谷友紀子,7.8,(567人评分),Rank 474,,"TV,日本,原创,光之美少女,2015,東映アニメーション,东映,プリキュア,百合,2015年1月,田中仁,2015年,战斗,东映动画,幼女向,魔法少女,子供向,年番,奇幻,TVA,precure,2010s,公主Q娃,田中裕太"
噬神者,GOD EATER,13话 /  2015年7月12日 / 平尾隆之 / BANDAI NAMCO Entertainment Inc. / 清水慶太,6.3,(2281人评分),Rank 6155,,"TV,日本,奇幻,战斗,游戏改,ufotable,2015年7月,热血,2015,平尾隆之,游戏改编,2015年,科幻,游改,动画,中井和哉,末世,日本动画,TVA,坂本真绫,噬神者,原创角色"
光之使命,Golden Shot,1话 /  2015年3月20日 / Gökalp Gönen,,(少于10人评分),,,"2015,空,短片"
小恐龙阿贡 第二季,GON -ゴン- 2期,26话 /  2015年4月4日,,(少于10人评分),,,"TV,日本,漫画改,2015年4月,2015年,2015,子供向,2015年四月番,DaewonMedia"
猜猜我有多爱你：小棕兔历险记 第二季,Guess How Much I Love You: The Adventures of Little Nutbrown Hare Season 2,26话 /  2015年8月3日,,,,,"TV,欧美"
地狱归来,Hell and Back,1话 /  2015-10-02(美国) / Tom Gianas / Ross Shuman,,(少于10人评分),,,"剧场版,动画电影,2015,欧美,美国,无,台词好污,偶片"
爆笑风暴,Hero Storm,2015年6月7日,,(少于10人评分),,,"WEB,同人,2015,空"
疯狂外星人,Home,1话 /  2015-03-27 / 蒂姆·约翰逊,6.3,(105人评分),Rank 4848,,"剧场版,欧美,动画电影,2015,梦工厂,美国,原创,搞笑,2010s,欧美动画,动画,3D,电影,奇幻,2015年4月,补标,冒险,DreamWorks,喜剧,科幻,不错"
精灵旅社2,Hotel Transylvania 2,1话 /  2015年9月25日 / Genndy Tartakovsky / Todd Durham,6.4,(351人评分),Rank 5177,,"剧场版,原创,美国,欧美,动画电影,2015,治愈,搞笑,3D,鬼父,SONY,电影,吸血鬼,奇幻,续作,2015年10月,2015年,2010-2019"
Hundred Waters: Innocent,,2015 / Jérémy Clapin,,,,,欧美
爆笑炉石,HurtStone,2015,,(少于10人评分),,,"欧美,WEB,2015,空"
Hな体験は神社でθ,,1话 /  2015年12月26日,5.8,(12人评分),,,
头脑特工队,Inside Out,1话 /  2015年6月19日 / Pete Docter,7.5,(2143人评分),Rank 894,,"剧场版,原创,美国,欧美,pixar,迪士尼,2015,动画电影,Disney,皮克斯,3D,搞笑,电影,治愈,奇幻,家庭,成长,童年,冒险,心理,2015年,2015年6月,动画,青春,情感,喜剧,家庭向,头脑特工队"
伊斯卡,ISUCA,10话 /  2015年1月23日 / 岩永彰 / 高橋脩(ヤングエース連載/角川コミック・エース刊) / 秋山由樹子,4.5,(1185人评分),Rank 9228,,"后宫,TV,日本,漫画改,2015年1月,卖肉,2015,Arms,肉,漫改,肉番,梅津泰臣,战斗,奇幻,校园,2015年,动画,福利,日本动画,恋爱,神魔,ISUCA,四大名著"
伊斯卡 OAD,ISUCA OAD,1话 /  2015-08-26,5.0,(217人评分),Rank 8765,,"后宫,OVA,漫画改,OAD,肉,Arms,2015年8月,2015,番外,2015年,卖肉,肉番,奇幻,日本,福利,2015年7月,恋爱,漫改,巫女,2015年1月,日本动画,萌,校园,杀必死,动作,烂尾,ISUCA,伊斯卡"
女高中生给你做饭了！,JKめし！,26话 /  2015年10月5日 / 見谷泰道 / フジツカ,4.0,(323人评分),Rank 9261,,"TV,日本,原创,泡面番,2015年10月,美食,2015,搞笑,泡面,漫改,漫画改,日常,短片,日本动画,科普,料理,女高中生给你做饭了！"
正义联盟：神明与怪物,Justice League: Gods and Monsters,1话 /  2015年7月21日(数字版)、2015年7月28日(实体版) / Sam Liu,7.0,(92人评分),Rank 2355,,"剧场版,欧美,dc,超级英雄,2015,动画,动画电影,美国动画,电影,科幻,动作,原创,美漫,漫画改编,漫画改,无,平行宇宙,美国,剧情,漫改"
正义联盟：神魔编年史,Justice League: Gods and Monsters Chronicles,3话 /  2015-06-08,,(少于10人评分),,,"WEB,dc"
正义联盟：亚特兰蒂斯王座,Justice League: Throne of Atlantis,1话 /  2015年1月13日(数字版)、2015年1月27日(实体版) / Ethan Spaulding / Throne of Atlantis by Geoff Johns、Paul Pelletier、Ivan Reis,5.3,(92人评分),Rank 7607,,"剧场版,欧美,dc,2015,美国,漫画改,美国动画,漫改,漫画改编,动画电影,超级英雄,战斗,电影,2010-2019,搞笑,动画,科幻,超能力,战争,无,幻想,正义联盟"
K 诸王归来,K RETURN OF KINGS,13话 /  2015年10月2日 / 鈴木信吾 / GoRA・GoHands / 鈴木信吾,6.2,(2469人评分),Rank 6476,,"TV,日本,奇幻,原创,战斗,2015年10月,k,GoHands,2015,基,樱井孝宏,杉田智和,小野大辅,续篇,泽城美雪,浪川大辅,中村悠一,续作,津田健次郎,宫野真守,热血,2015年,堀江由衣,福山润,乙女向,小松未可子,耽美,日本动画"
Kinky & Cosy,,2015年 / Nix,,,,,"TV,欧美,漫画改,比利时"
L'Œil du cyclone,,1话 /  2015年11月2日,,(少于10人评分),,,"WEB,短片,2015,mv,日本动画,日法合作,平岡政展"
La montagne magique,,1话 /  2015 / Anca Damian,,,,,"剧场版,2015,欧美"
熔岩,Lava,1话 /  2015年6月19日 / James Ford Murphy,5.8,(44人评分),,,"剧场版,欧美,短片,2015,pixar,美国,皮克斯,爱情,3D,欧美动画,原创,中庸,表番,JamesFordMurphy,秃熔岩与女子熔岩MAD,剧场版短片,PixarAnimationStudios,AM,歌好听"
Le Dernier Gaulois,,1话 /  2015年12月21日（比利时） / Samuel Tilman,,,,,"剧场版,欧美"
小王子,Le Petit Prince,1话 /  2015年7月29日 / Mark Osborne / Antoine de Saint-Exupéry,6.5,(307人评分),Rank 4542,,"剧场版,法国,欧美,动画电影,2015,3D,定格动画,治愈,电影,小说改,剧情,奇幻,童年,2015年,补标,undefined,小王子"
魔王,Le Roi des Aulnes,1话 /  2015 / Georges Schwizgebel,,(少于10人评分),,,"WEB,2015,短片,独立动画,Georges_Schwizgebel"
乐高DC超级英雄：正义联盟大战异魔联盟,Lego DC Comics Super Heroes: Justice League vs. Bizarro League,1话 /  2015-02-10,6.5,(27人评分),,,"剧场版,欧美,dc,2015,美国,超级英雄,动画电影,搞笑,映画,动画,原创,电影,无,美国动画,乐高,DC_Comics,DC.Comics,Warner.Bros.Animation"
乐高DC超级英雄：正义联盟之末日军团的进攻,Lego DC Comics Super Heroes: Justice League – Attack of the Legion of Doom,1话 /  2015-08-25,,(少于10人评分),,,"剧场版,dc,欧美,2015,美国动画,美国,超级英雄,动画电影,动画,电影,搞笑,原创,科幻,乐高"
乐高漫威复仇者联盟:重新集结,Lego Marvel Super Heroes: Avengers Reassembled,1话 /  2015年11月16日 / Rob Silvestri,,(少于10人评分),,,欧美
乐高幻影忍者：陈大师微电影,LEGO Ninjago：Chen mini-movies,5话 /  2015年 / Sanne Dirckinck-Holmfeld、Claus Darholt、Rolf Krarup、Jeppe Sandholt,,(少于10人评分),,,"短片,欧美"
乐高幻影忍者 第四季,LEGO Ninjago：Masters of Spinjitzu Season 4,10话 /  2015年2月23日 / Trylle Vilstrup、Michael Helmuth Hansen、Jens Møller、Peter Hausner、Per Dür Risager,7.6,(14人评分),,,"TV,欧美,原创"
乐高幻影忍者 第五季,LEGO Ninjago：Masters of Spinjitzu Season 5,10话 /  2015年6月29日 / Michael Helmuth Hansen、Jens Møller、Peter Hausner、Trylle Vilstrup,7.6,(13人评分),,,"TV,欧美,原创"
乐高星球大战：有关机器人的故事,LEGO Star Wars:Droid Tales,5话 /  2015年7月6日,,(少于10人评分),,,"TV,欧美,搞笑,科幻,乐高,星球大战"
乐高：生化战士 第二季,LEGO：BIONICLE Season 2,9话 /  2015年8月7日,,,,,"短片,欧美"
Leopard Eyes,,1话 /  2015-12-21,,(少于10人评分),,,"WEB,短片,2015,MV,短篇,NAZ,IDOLiSH7,深川可纯,『MV』,松竹德幸"
悠悠长假,Les Grandes Grandes Vacances,10话 /  2015年4月20日 / Delphine Maury、Olivier Vinuesa,7.3,(21人评分),,,"TV,欧美,战争,历史,2015,法国,原创,日常,二战,OlivierVinuesa,DelphineMaury,历史战争"
莉莉和雪人,Lily & the Snowman,2015-12-15,,(少于10人评分),,,"短片,欧美,TV（集数1-49）,2015,JasonPatterson,DanAbdo"
爱是什么,Love is,1话 /  2015年,,(少于10人评分),,,"剧场版,空,短片"
LOVELY×CATION THE ANIMATION,,2话 /  2015年3月27日,6.6,(696人评分),Rank 4181,,
Macabre,,2015-11-15 / Jerónimo Rocha、João Miguel Real,,(少于10人评分),,,"2015,超现实,短片,葡萄牙,Rocha,real"
