name,name_cn,info,score,score_count,rank,type,tags
星船伞兵：火星叛徒,Starship Troopers: Traitor of Mars,1话 /  2017年8月21日 / 荒牧伸志、松本勝 / Robert A. Heinlein,5.9,(69人评分),Rank 5665,,"剧场版,科幻,欧美,CG,3D,2017年,2017,小说改,2024,原创,动作,日本,动画,宇宙,美国,动画电影,美国动画,日美合作,粉丝向,星船伞兵,荒牧伸志,美国原作改编,哇,SOLADIGITALARTS,Sony_Pictures_Entertainment_In,星河战队,卡斯帕·范·迪恩,迪娜·迈耶,合作,太空歌剧"
脚步,STEPS,1话 /  2017年 / Alex Avagimian,,(少于10人评分),,,"短片,原创,悬疑"
史蒂文的宇宙 第五季,Steven Universe Season 5,32话 /  2017年5月29日,8.0,(32人评分),,,"TV,欧美,治愈,奇幻,美国,2017,神作,2017年,10,原创,日常,百合,Cartoon_Network,史蒂文的宇宙,feminism,宇宙小子,心理健康,CARTOONNETWORK"
超级恋人 第二季,SUPER LOVERS 2,10话 /  2017年1月12日,6.5,(285人评分),Rank 4601,,"TV,日本,BL,耽美,漫画改,2017年1月,studiodeen,2017,腐,前野智昭,漫改,续作,恋爱,2017年,TVA,动画,基,第二季,松岡禎丞,スタジオディーン,新番记录"
超级恋人 OAD,SUPER LOVERS OAD,2话 /  2017年1月1日 / あべ美幸,6.2,(50人评分),,,"日本,OVA,BL,漫画改,OAD,耽美,2017,studiodeen,2017年1月,2016,漫改,改编,2016年12月,前野智昭,已保存,已下,2016年,スタジオディーン,番外,日本动画,松岡禎丞,恋爱,漫画改编,基,2017年一月番,中村能子,超级恋人,2016年十月番,皆川純子,石平信司"
超级妙妙书 第四季,Superbook Season 4,13话 /  2017年6月24日 / Bryant Paul Richardson,,,,,"科幻,TV,冒险,美国,欧美"
Superfluidity,,2017 / Eric Leiser,,,,,"2017,美国,短片,莱瑟,实验"
超级豪宅 第二季,SuperMansion Season 2,10话 /  2017年2月16日,,,,,"TV,欧美"
光明的种子,SURAYA - Seed of Light,2017 / Lyvia Marchetti / Charles Husson,,,,,"短片,欧美,2017,2010s,法国"
冲浪季节2：波浪狂热,Surf's Up 2: WaveMania,1话 /  2017年1月17日 / Henry Yu,,,,,剧场版
SWAMP STAMP AnimeEdition,,1话 /  2017年7月7日,3.7,(132人评分),Rank 9222,,
机器人和来自宇宙的少女,Swing-by,1话 /  2017年6月16日,5.9,(21人评分),,,"科幻,短片,原创,2017,SF,日本,2017年,动画,日本动画,感人,剧场版,未分类,IndieAnime"
情热传说 the X 第二季,Tales of Zestiria the X 2期,13话 /  2017年1月8日,6.1,(1270人评分),Rank 6971,,"TV,日本,奇幻,游戏改,ufotable,2017年1月,2017,第二季,传说系列,基情,战斗,魔幻,木村良平,续期,外崎春雄,冒险,续作,百合,2017年,小松未可子,异世界,基,逢坂良太,热血,茅野爱衣,情热传说,热情传说X,经费"
魔发奇缘：幸福前奏,Tangled: Before Ever After,1话 /  2017年3月10日,6.1,(12人评分),,,"TV,欧美,2017,迪士尼,Disney,动画电影,剧场版,电影,歐美,Tangled"
魔发奇缘 第一季,Tangled: The Series (Season 1),21话 /  2017年3月24日,6.3,(12人评分),,,"TV,欧美,迪士尼,2017,Disney,外传,魔幻,续集,Tangled"
少年泰坦：犹大契约,Teen Titans: The Judas Contract,1话 /  2017年4月4日 / Sam Liu / The Judas Contract by Marv Wolfman and George Pérez,5.7,(28人评分),,,"剧场版,dc,2017,欧美,漫画改,原创,美国动画,动画电影,漫改,OVA,搞笑,SF,科幻,アニメ映画,Warner.Bros.Animation,DCAMU,JasonO,超英,DC.Comics,TaissaFarmiga,BryanQ.Miller,JonBernthal,WarnerBros.Animation,SamLiu"
忍者神龟2012 第五季,Teenage Mutant Ninja Turtles Season 5,20话 /  2017年3月19日,6.7,(12人评分),,,"TV,欧美,搞笑,a.Anime,2017,f.日本,脑洞,童年,美国,战斗,完结,忍者神龟,m.一集弃,TMNT"
德黑兰禁忌,Tehran Taboo,1话 /  2017-05-20 / Ali Soozandeh,6.7,(17人评分),,,"剧场版,2017,动画电影,欧美,原创,2010-2019,致郁,电影,德国,奥地利,Ali_Soozandeh,神户小德黑紫罗兰,AliSoozandeh"
宝贝老板,The Boss Baby,1话 /  2017-03-31 / Tom McGrath,6.2,(173人评分),Rank 5713,,"剧场版,原创,美国,欧美,梦工厂,动画电影,搞笑,2017,家庭,3D,奇幻,DreamWorks,电影,补标,2010s,美漫,子供向,喜欢,喜剧,童年,动画,表"
养家之人,The Breadwinner,1话 /  2017年9月8日 / Nora Twomey / Deborah Ellis,7.2,(298人评分),Rank 1862,,"剧场版,小说改,欧美,2017,动画电影,电影,剧情,2017年,家庭,战争,原创,2010-2019,アニメ映画,亲情,现实,2019,爱尔兰,加拿大,阿富汗,CartoonSaloon"
氰化欢乐秀 第三季,The Cyanide and Happiness Show Season 3,10话 /  2017年2月2日,6.8,(48人评分),,,"WEB,搞笑,欧美,2017,脑洞,泡面番,美国,吐槽,原创,2017年,补标,TV,续作,恶搞,猎奇,ExplosmEntertainment,梗"
